Always a Woman to Me	Billy Joel	data/bilalw.abc	Tirithannon
And So It Goes	Billy Joel	data/biland.abc	Meldowen
New York State of Mind	Billy Joel	data/bilnew.abc	Bungee
She's Got a Way	Billy Joel	data/bilshe.abc	Bungee
Still Rock 'n' Roll	Billy Joel	data/bilsti.abc	Meldowen
Cut the Curtains	Billy Talent	data/bilcut.abc	Shorai
Fallen Leaves	Billy Talent	data/bilfal.abc	Shorai
Nothing To Lose	Billy Talent	data/bilnot.abc	Shorai
River Below	Billy Talent	data/bilriv.abc	Shorai
Voices Of Violence	Billy Talent	data/bilvoi.abc	Shorai
Habanera to Carmen	Bizet	data/bizhab.abc	Tiamo/Skjald
Embryo	Black Sabbath	data/blaemb.abc	Cianra
Iron Man	Black Sabbath	data/blairon.abc	Mellianna
Iron Man	Black Sabbath	data/blairo1.abc	Snosh
Laguna Sunrise	Black Sabbath	data/blalag.abc	Cianra
N.I.B.	Black Sabbath	data/blanib.abc	Ducksey
Sweet Leaf	Black Sabbath	data/blaswe.abc	Mellianna
Tomorrow's Dream	Black Sabbath	data/blatom.abc	Mellianna
Under A Violet Moon	Blackmore's Night	data/blaund.abc	Thelodin/Alisone
Somewhere Far Beyond	Blind Guardian	data/blisom.abc	Genwen
The Eldar	Blind Guardian	data/blield.abc	Florum
No Rain	Blind Melon	data/blinor.abc	Cervantes
Adam's Song	Blink 182	data/bliada.abc	Darcade
All the Small Things	Blink 182	data/bliall.abc	Prosco
What's My Age Again?	Blink 182	data/bliwha.abc	Prosco
Godzilla	Blue Oyster Cult	data/bocgod.abc	Ducksey
Everybody Needs Somebody to Love	Blues Brothers	data/blueve.abc	Ratissia
Song 2	Blur	data/bluson.abc	Ducksey
Going Home	Bob Carlisle	data/bobgoi.abc	Cyrano
It Ain't Me	Bob Dylan 	data/bobita.abc	Dalthyn
Lay Lady Lay	Bob Dylan	data/boblay.abc	Thorsangori
Like a Rolling Stone	Bob Dylan	data/boblik.abc	Dalthyn
Buffalo Soldier	Bob Marley	data/bobbuf.abc	Thorsongori
Jammin'	Bob Marley	data/bobjam.abc	Prosco
Old Time Rock and Roll	Bob Seger	data/bobold.abc	Krovax
Dead or Alive	Bon Jovi	data/bondea.abc	Unknown
Make a Memory	Bon Jovi	data/bonmake.abc	Cyrano
Shot Through the Heart	Bon Jovi	data/bonsho.abc	Ducksey
Holding Out For A Hero	Bonnie Tyler	data/bonhol.abc	Cyrano
Total Eclipse	Bonnie Tyler	data/bontot.abc	Trumpetvine
More Than a Feeling	Boston	data/bosmor.abc	Ratissia
More Than a Feeling	Boston	data/bosmore.abc	Cervantes
If	Bread	data/breif.abc	Durinsbane
Brian's Song Theme  (The Hands of Time)	Brian's Song	data/brians.abc	Cyrano
Mandolin Rain	Bruce Hornsby	data/bruman.abc	Cyrano
The Way It Is	Bruce Hornsby	data/bruway.abc	Cyrano
Human Touch	Bruce Springsteen	data/bruhum.abc	Ratissia
Everything I Do...	Bryan Adams	data/bryeve.abc	Ratissia
Words of Love	Buddy Holly	data/budwor.abc	Durinsbane
The Bungee Blues	Bungee	data/bunblu.abc	Bungee
Glycerine	Bush	data/busgly.abc	Ducksey
Gonna Make You Sweat	C &amp; C Music Factory	data/ccgon.abc	Genwen
Word Up	Cameo	data/camwor.abc	Krovax
You're So Vain	Carly Simon	data/caryou.abc	Ducksey
We've Only Just Begun	Carpenters, The	data/carwev.abc	X-command
We've Only Just Begun	Carpenters, The	data/carpwev.abc	Kromlur
Drive	Cars, The	data/cardri.abc	Ratissia
Morning Has Broken	Cat Stevens	data/catmor.abc	Theadel
My Heart Will Go On	Celine Dion	data/celmyh.abc	Giddily
Cheers Theme	Cheers	data/cheers.abc	raziell/jeffwise
Chips Theme Song	Chips Theme Song	data/chips.abc	Cranberry
Yellow River	Christine	data/chryel.abc	Ducksey
Another Aruni Village	Chrono Cross	data/chrano.abc	Ducksey
Another World	Chrono Cross	data/chranot.abc	Ducksey
Crossing the Seas	Chrono Cross	data/chrcro.abc	Ducksey
Dimension Breach	Chrono Cross	data/chrdim.abc	Ducksey
